message_id,datetime8601,instrument,action,station,cast,latitude,longitude,comment,cruise,date,year,month,day,time
21,2018-01-31T20:46:13Z,Bongo Net,deploy,L1,B1,41.194617,-70.882633,net rinsed down at 21:50 bc had to get seawater hose set up,EN608,2018-01-31,2018,1,31,20:46:13
31,2018-02-01T06:24:59Z,Bongo Net,deploy,L2,B4,41.010083,-70.8684,NA,EN608,2018-02-01,2018,2,1,06:24:59
35,2018-02-01T10:24:59Z,Bongo Net,deploy,L3,B5,40.843367,-70.887217,time adjusted manually - note the event time is when stowed on deck,EN608,2018-02-01,2018,2,1,10:24:59
44,2018-02-01T20:08:01Z,Bongo Net,deploy,L4,B8,40.682933,-70.88195,NA,EN608,2018-02-01,2018,2,1,20:08:01
51,2018-02-02T00:11:58Z,Bongo Net,deploy,L5,B9,40.518267,-70.90035,Entered after the tow; time taken from TDR (thus accurate),EN608,2018-02-02,2018,2,2,00:11:58
55,2018-02-02T11:15:59Z,Bongo Net,deploy,L6,B12,40.353083,-70.898,adjust time manually 10:52 - 25 to 30 kt wind recovery was above comfort level bridge agrees,EN608,2018-02-02,2018,2,2,11:15:59
68,2018-02-03T18:34:36Z,Bongo Net,deploy,L11,B19,39.759567,-70.890183,NA,EN608,2018-02-03,2018,2,3,18:34:36
74,2018-02-03T23:44:59Z,Bongo Net,deploy,L10,B21,39.9161,-70.8868,Edited time to be 7 min earlier than when event entered,EN608,2018-02-03,2018,2,3,23:44:59
75,2018-02-04T02:40:00Z,Bongo Net,deploy,L9,B22,40.0928,-70.868117,Logged 10 min after start. Changed time to reflect this.,EN608,2018-02-04,2018,2,4,02:40:00
77,2018-02-04T05:49:29Z,Bongo Net,deploy,L7,B23,40.220033,-70.865817,NA,EN608,2018-02-04,2018,2,4,05:49:29
99,2018-02-05T00:24:59Z,Bongo Net,deploy,MVCO,B30,41.320017,-70.5716,time adjusted manually; is exact time of deployment,EN608,2018-02-05,2018,2,5,00:24:59
20,2018-04-03T20:52:00Z,Ring Net,deploy,L1,R1,41.183741,-70.882848,cast depth 17m,AR28B,2018-04-03,2018,4,3,20:52:00
21,2018-04-03T22:25:02Z,Ring Net,deploy,L2,R2,41.031341,-70.883144,cast depth 40m cod end broke free,AR28B,2018-04-03,2018,4,3,22:25:02
22,2018-04-04T00:25:02Z,Ring Net,deploy,L3,R3,40.863824,-70.884858,cast depth 50m?,AR28B,2018-04-04,2018,4,4,00:25:02
23,2018-04-04T02:19:02Z,Ring Net,deploy,L4,R4,40.697208,-70.883486,cast depth 62m,AR28B,2018-04-04,2018,4,4,02:19:02
24,2018-04-04T04:30:02Z,Ring Net,deploy,L5,R5,40.529333,-70.881313,cast depth 72m,AR28B,2018-04-04,2018,4,4,04:30:02
229,2018-04-09T15:45:00Z,Ring Net,deploy,L10,R10,39.940265,-70.882248,cast depth 438m,AR28B,2018-04-09,2018,4,9,15:45:00
230,2018-04-10T02:55:02Z,Ring Net,deploy,L11,R12,39.773457,-70.883951,cast depth 200m - salp central,AR28B,2018-04-10,2018,4,10,02:55:02
231,2018-04-10T18:55:02Z,Ring Net,deploy,L9,R17,40.096026,-70.885247,cast depth 145m,AR28B,2018-04-10,2018,4,10,18:55:02
232,2018-04-11T12:56:02Z,Ring Net,deploy,L7,R27,40.227054,-70.884794,cast depth 120m,AR28B,2018-04-11,2018,4,11,12:56:02
233,2018-04-11T18:40:02Z,Ring Net,deploy,L6,R28,40.358958,-70.884477,cast depth 87m,AR28B,2018-04-11,2018,4,11,18:40:02
234,2018-04-12T12:40:02Z,Ring Net,deploy,L8,R37,40.136709,-70.775062,cast depth 129m,AR28B,2018-04-12,2018,4,12,12:40:02
14,2018-07-20T18:45:31Z,Bongo Net,deploy,L1,B1,41.203333,-70.887017,New Winch from EN608,EN617,2018-07-20,2018,7,20,18:45:31
21,2018-07-20T22:14:54Z,Bongo Net,deploy,L2,B2,41.034783,-70.875367,NA,EN617,2018-07-20,2018,7,20,22:14:54
27,2018-07-21T07:34:00Z,Bongo Net,deploy,L3,B5,40.86585,-70.882533,NA,EN617,2018-07-21,2018,7,21,07:34:00
