cruise,station,cast,max_depth,corrected_max_depth,offset_m,comment
AR77,L10,B6,212.91,212.91,0,
AR77,L11,B8,201.61,201.61,0,
AR77,L2,B2,38.35,38.35,0,
AR77,L3,B18,51.25,51.25,0,
AR77,L4,B19,64.66,64.66,0,
AR77,L5,B5,65.54,65.54,0,
AR77,L6,B10,84.44,84.44,0,
AR77,L7,B17,121.1,121.1,0,
AR77,L8,B16,137.05,137.05,0,
AR77,L9,B13,219.91,219.91,0,
AR77,MVCO,B35,6.3,6.3,0,
AT46,L1,B1,23.44,11.44,12,
AT46,L11,B7,179.16,175.16,4,
AT46,L2,B21,47.7,43.7,4,
AT46,L3,B22,51.69,47.69,4,
AT46,L4,B2,69.51,65.51,4,hit bottom  
AT46,L5,B3,66.68,62.68,4,
AT46,L6,B6,87.87,83.87,4,
AT46,L7,B14,84.04,80.04,4,
AT46,L9,B12,87.81,83.81,4,
AT46,MVCO,B23,18.31,14.31,4,
EN617,L10,B18,167.34,167.34,0,
EN617,L11,B21,168.16,168.16,0,
EN617,L11,B25A,17.56,17.56,0,
EN617,L2,B2,35.28,35.28,0,
EN617,L3,B5,49.7,49.7,0,
EN617,L4,B8,62.44,62.44,0,
EN617,L5,B9,62.43,62.43,0,
EN617,L6,B12,79.91,79.91,0,
EN617,L7,B13,106.29,106.29,0,
EN617,L8,B14,121.4,121.4,0,
EN617,L9,B17,115.56,115.56,0,
EN617,MVCO,B35,14.63,14.63,0,
EN649,L1,B1,19.88,19.88,0,
EN649,L10,B12,221.97,221.97,0,
EN649,L11,B16,243.71,243.71,0,
EN649,L2,B5,44.02,44.02,0,
EN649,L3,B6,45.76,45.76,0,
EN649,L4,B21,58.46,58.46,0,
EN649,L5,B20,75.25,75.25,0,
EN649,L6,B19,96.46,96.46,0,
EN649,L7,B7,108.57,108.57,0,
EN649,L8,B8,110.26,110.26,0,
EN649,L9,B11,106.48,106.48,0,
EN649,MVCO,B2,17.36,17.36,0,
EN655,L1,B1,24.22,21.22,3,
EN655,L10,B12,201.68,201.68,0,
EN655,L2,B2,49.39,43.39,6,
EN655,L3,B3,52.24,46.24,6,
EN655,L4,B7,57.68,51.68,6,
EN655,L5,B10,78.37,72.37,6,
EN655,L6,B16,60.09,60.09,0,
EN655,L7,B11,128.71,128.71,0,
EN655,L9,B15,146.77,146.77,0,hit bottom - no sample
EN657,L10,B9,197.83,197.83,0,
EN657,L11,B12,180.69,180.69,0,
EN657,L1,B1,16.23,16.23,0,this profile is in the L3 TDR file
EN657,L2,B5,31.08,31.08,0,
EN657,L3,B2,43.32,43.32,0,
EN657,L4,B6,55.48,55.48,0,
EN657,L5,B7,66.47,66.47,0,
EN657,L6,B17,73.56,73.56,0,this file seems to have two profiles
EN657,L7,B19,112.09,112.09,0,
EN657,L8,B15,106.89,106.89,0,L8 and L9 tdr are together
EN657,L9,B14,123.3,123.3,0,
EN657,MVCO,B20,12.72,12.72,0,
