cruise,station,cast,tdr_max_depth_m,px_max_depth_m,ctd_bongo_max_depth_m,offset_m
AE2426,L1,B1,9.22,NA,NA,3.3
AE2426,L10,B11,139,NA,NA,3.3
AE2426,L11,B10,125.19,NA,NA,3.3
AE2426,L2,B19,33.53,38.38,NA,3.3
AE2426,L2,B4,31.22,NA,NA,3.3
AE2426,L4,B18,51.4,55.4,NA,3.3
AE2426,L5,B5,46.43,NA,NA,3.3
AE2426,L6,B17,89.16,93.25,NA,3.3
AE2426,L7,B15,104.28,108.73,NA,3.3
AE2426,L8,B13,130.75,134.81,NA,3.3
AE2426,L9,B12,NA,NA,NA,3.3
AR77,L10,B6,212.91,NA,NA,0
AR77,L11,B8,201.61,NA,NA,0
AR77,L2,B2,38.35,NA,NA,0
AR77,L3,B18,51.25,NA,NA,0
AR77,L4,B19,64.66,NA,NA,0
AR77,L5,B5,65.54,NA,NA,0
AR77,L6,B10,84.44,NA,NA,0
AR77,L7,B17,121.1,NA,NA,0
AR77,L8,B16,137.05,NA,NA,0
AR77,L9,B13,219.91,NA,NA,0
AR77,MVCO,B35,6.3,NA,NA,0
AR88,L1,B1,14.44,NA,NA,4.3
AR88,L10,B6,201.85,207.7,NA,4.3
AR88,L11,B9,204.61,210.08,NA,4.3
AR88,L2,B19,41,45.38,NA,4.3
AR88,L3,B18,46.03,51.21,NA,4.3
AR88,L4,B2,53.07,58.1,NA,4.3
AR88,L5,B5,69.44,73.21,NA,4.3
AR88,L6,B10,77.27,83.12,NA,4.3
AR88,L7,B16,113.57,122.19,NA,4.3
AR88,L8,B17,128.36,133.27,NA,4.3
AR88,L9,B15,205.8,209.87,NA,4.3
AR88,MVCO,B22,5.73,NA,NA,4.3
AR92,L1,B1,9.67,27.67,NA,4.6
AR92,L10,B8,207.31,213.74,NA,4.6
AR92,L11,B11,201.8,208.39,NA,4.6
AR92,L2,B2,31.28,37.58,NA,4.6
AR92,L3,B22,43.34,49.09,NA,4.6
AR92,L4,B6,59.08,64.99,NA,4.6
AR92,L5,B7,70.46,76.02,NA,4.6
AR92,L6,B12,80.23,86.2,NA,4.6
AR92,L7,B21,115.35,122.03,NA,4.6
AR92,L8,B17,132.93,138.84,NA,4.6
AR92,L9,B20,197.3,203.4,NA,4.6
AR92,MVCO,B26,7.07,NA,NA,4.6
AR95,L1,B1,5.63,11.93,NA,5.3
AR95,L10,B7,194.98,201.87,NA,5.3
AR95,L11,B10,197.57,204.52,NA,5.3
AR95,L2,B2,38.65,44.58,NA,5.3
AR95,L3,B19,47.04,59.05,NA,5.3
AR95,L4,B5,52.21,58.58,NA,5.3
AR95,L5,B6,68.68,74.22,NA,5.3
AR95,L6,B11,85.22,NA,NA,5.3
AR95,L7,B18,115.6,122.19,NA,5.3
AR95,L8,B17,121.46,127.49,NA,5.3
AR95,L9,B16,198.01,205.79,NA,5.3
AR95,MVCO,B23,7.18,NA,NA,5.3
AR99,L1,B2,12.56,NA,NA,5.9
AR99,L10,B6,187.42,194.82,NA,5.9
AR99,L11,B9,192.76,199,NA,5.9
AR99,L2,B3,39.11,NA,NA,5.9
AR99,L2,R3,36.56,NA,NA,5.9
AR99,L3,B18,41.38,52.91,NA,5.9
AR99,L4,B17,57.37,64.83,NA,5.9
AR99,L5,B4,62.72,70.82,NA,5.9
AR99,L6,B10,83.06,89.43,NA,5.9
AR99,L6,R10,88.37,NA,NA,5.9
AR99,L7,B19,112.07,118.69,NA,5.9
AR99,L8,B20,131.47,138.46,NA,5.9
AR99,L9,B5,197.61,NA,NA,5.9
AR99,L9,R5,197.95,NA,NA,5.9
AR99,MVCO,B24,7.9,NA,NA,5.9
AT46,L1,B1,23.44,NA,NA,-10
AT46,L11,B7,179.16,NA,NA,-4
AT46,L2,B21,47.7,NA,NA,-4
AT46,L3,B22,51.69,NA,NA,-4
AT46,L4,B2,69.51,NA,NA,-4
