"cruise","station","cast","sample_name","datetime_UTC_start","datetime_UTC_end","latitude_start","longitude_start","latitude_end","longitude_end","depth_bottom","depth_target","depth_TDR","net_max_depth","avg_angle","max_wire_out","wire_rate_out","wire_rate_in","STW_start","SOG_start","STW_end","SOG_end","flowmeter_sn_335","flow_start_335","flow_end_335","tot_flow_counts_335","vol_filtered_335","NOAA_335","DNA_335","flowmeter_sn_150","flow_start_150","flow_end_150","tot_flow_counts_150","vol_filtered_150","morph_ID_150","DNA_150","size_fract_150","taxa_pick_150","size_fract_20","haul_factor_10m2_335","haul_factor_10m2_150","haul_factor_100m3_335","haul_factor_100m3_150","comments","primary_flag","secondary_flag"
"EN608","L1","1","EN608_L1_B1",2018-01-31 20:46:13,2018-01-31 20:51:00,41.1947,-70.8826,NA,NA,22,17,18.2,18.42,35,21,10,6,1.47,1.47,NA,NA,28517,651822,661657,9835,77.227,"Y","Y",28519,617432,625697,8265,64.899,"Y","Y","Y","Y","Y",2.385,2.838,1.295,1.541,"Pay-out speed of 10m/min (instead of 20 like NOAA does). We changed the pay-out speed for the rest of the stations too. They were reduced, and maxed out at 30 m/min whereas NOAA goes up to 50--the ship wanted to keep it to 30. Also, because of the chaos with everything and having to deploy the rake, the nets weren't rinsed about an hour after retrieval. SIze fraction samples in tin foil (except 20-100), but in vials for the rest of the cruise.",1,NA
"EN608","L2","4","EN608_L2_B4",2018-02-01 06:24:59,2018-02-01 06:31:00,41.0105,-70.8686,NA,NA,48,43,44,44.26,NA,52,30,16,1.59,1.59,NA,NA,28517,661663,674869,13206,103.697,"Y","Y",28519,625722,637687,11965,93.953,"Y","Y","Y","Y","Y",4.268,4.711,0.964,1.064,"Spilled about 5% of 150um sample. Down at 30 m/min, up at 18 initially then 14 soon after.",1,NA
"EN608","L3","5","EN608_L3_B5",2018-02-01 10:24:59,2018-02-01 10:31:00,40.8435,-70.8872,NA,NA,55,50,54,53.95,30,55,30,18,1.22,1.22,NA,NA,28517,675301,683513,8212,64.483,"Y","Y",28519,637710,643850,6140,48.213,"Y","Y","Y","Y","Y",8.367,11.19,1.551,2.074,"55m payout",1,NA
"EN608","L4","8","EN608_L4_B8",2018-02-01 20:08:01,2018-02-01 20:14:00,40.6829,-70.8819,NA,NA,67,62,63,63.65,35,73,30,20,1.22,1.22,NA,NA,28517,683506,696838,13332,104.687,"Y","Y",28519,643853,655705,11852,93.065,"Y","Y","Y","N","Y",6.08,6.839,0.955,1.075,"No picking sample--needed it for 200-500 size fraction that I dumped accidentally",1,NA
"EN608","L5","9","EN608_L5_B9",2018-02-02 00:11:58,2018-02-02 00:20:00,40.5184,-70.9003,NA,NA,78,73,77,76.89,35,89,30,20,1.06,1.06,NA,NA,28517,696846,711272,14426,113.277,"Y","Y",28519,655703,668741,13038,102.378,"Y","Y","Y","Y","Y",6.788,7.51,0.883,0.977,NA,1,NA
"EN608","L6","12","EN608_L6_B12",2018-02-02 11:15:59,NA,40.353,-70.8972,NA,NA,95,90,93,93,30,110,30,20,2.07,2.07,NA,NA,28517,711267,729366,18099,142.119,"Y","Y",28519,668743,683284,14541,114.18,"Y","Y","Y","Y","Y",6.544,8.145,0.704,0.876,"20 um size fractions",NA,NA
"EN608","L11","19","EN608_L11_B19",2018-02-03 18:34:36,NA,39.7599,-70.8901,NA,NA,1650,200,195,195,40,260,30,20,1.84,1.84,NA,NA,28517,729622,771594,41972,329.576,"Y","Y",28519,685484,723906,38422,301.701,"Y","Y","Y","Y","Y",5.917,6.463,0.303,0.331,"Did not include a tunicate and Phronima amphipod in >1000um fraction.",NA,NA
"EN608","L10","21","EN608_L10_B21",2018-02-03 23:44:59,NA,39.9166,-70.8867,NA,NA,460,200,210,210,40,280,30,20,1.67,1.67,NA,NA,28517,771590,812960,41370,324.849,"Y","Y",28519,723908,761560,37652,295.654,"Y","Y","Y","Y","Y",6.465,7.103,0.308,0.338,"Did not include a salp in the >1000um fraction",NA,NA
"EN608","L9","22","EN608_L9_B22",2018-02-04 02:40:00,NA,40.0931,-70.8687,NA,NA,148,140,140,140,NA,190,30,20,1.69,1.69,NA,NA,28517,812959,842254,29295,230.033,"Y","Y",28519,761562,788623,27061,212.491,"Y","Y","Y","Y","Y",6.086,6.589,0.435,0.471,NA,NA,NA
"EN608","L7","23","EN608_L7_B23",2018-02-04 05:49:29,NA,40.2201,-70.866,NA,NA,125,120,104,104,40,145,30,20,1.54,1.54,NA,NA,28517,843350,872924,29574,232.224,"Y","Y",28519,788624,817103,28479,223.625,"Y","Y","Y","Y","Y",4.478,4.651,0.431,0.447,"150 net almost clogged with orangy goo. See if IFCB can see it. 200-500 fraction like fudge--very cohesive.",NA,NA
