"","dateTime8601","instrument","action","station","cast","lat","lon","comment","message.ID","cruise","year","month","day","time","dateTime","date","datetime_decimaldoy","speedlog_waterspeedfwd","speedlog_groundspeedfwd"
"1","2018-01-31 20:46:13+00:00","Bongo Net","deploy","L1","B1",41.1947,-70.8826,"net rinsed down at 21:50 bc had to get seawater hose set up",NA,"EN608",2018,1,31,"20:46:13",2018-01-31 20:46:13,"2018-01-31 20:46:00+00:00",30.8652778,1.47,1.47
"2","2018-02-01 06:24:59+00:00","Bongo Net","deploy","L2","B4",41.0105,-70.8686,NA,NA,"EN608",2018,2,1,"06:24:59",2018-02-01 06:24:59,"2018-02-01 06:24:00+00:00",31.2666667,1.59,1.59
"3","2018-02-01 10:24:59+00:00","Bongo Net","deploy","L3","B5",40.8435,-70.8872,"time adjusted manually - note the event time is when stowed on deck",NA,"EN608",2018,2,1,"10:24:59",2018-02-01 10:24:59,"2018-02-01 10:24:00+00:00",31.4333333,1.22,1.22
"4","2018-02-01 20:08:01+00:00","Bongo Net","deploy","L4","B8",40.6829,-70.8819,NA,NA,"EN608",2018,2,1,"20:08:01",2018-02-01 20:08:01,"2018-02-01 20:08:00+00:00",31.8388889,1.22,1.22
"5","2018-02-02 00:11:58+00:00","Bongo Net","deploy","L5","B9",40.5184,-70.9003,"Entered after the tow; time taken from TDR (thus accurate)",NA,"EN608",2018,2,2,"00:11:58",2018-02-02 00:11:58,"2018-02-02 00:11:00+00:00",32.0076389,1.06,1.06
"6","2018-02-02 11:15:59+00:00","Bongo Net","deploy","L6","B12",40.353,-70.8972,"adjust time manually 10:52 - 25 to 30 kt wind recovery was above comfort level bridge agrees",NA,"EN608",2018,2,2,"11:15:59",2018-02-02 11:15:59,"2018-02-02 11:15:00+00:00",32.46875,2.07,2.07
"7","2018-02-03 18:34:36+00:00","Bongo Net","deploy","L11","B19",39.7599,-70.8901,NA,NA,"EN608",2018,2,3,"18:34:36",2018-02-03 18:34:36,"2018-02-03 18:34:00+00:00",33.7736111,1.84,1.84
"8","2018-02-03 23:44:59+00:00","Bongo Net","deploy","L10","B21",39.9166,-70.8867,"Edited time to be 7 min earlier than when event entered",NA,"EN608",2018,2,3,"23:44:59",2018-02-03 23:44:59,"2018-02-03 23:44:00+00:00",33.9888889,1.67,1.67
"9","2018-02-04 02:40:00+00:00","Bongo Net","deploy","L9","B22",40.0931,-70.8687,"Logged 10 min after start. Changed time to reflect this.",NA,"EN608",2018,2,4,"02:40:00",2018-02-04 02:40:00,"2018-02-04 02:40:00+00:00",34.1111111,1.69,1.69
"10","2018-02-04 05:49:29+00:00","Bongo Net","deploy","L7","B23",40.2201,-70.866,NA,NA,"EN608",2018,2,4,"05:49:29",2018-02-04 05:49:29,"2018-02-04 05:49:00+00:00",34.2423611,1.54,1.54
"11","2018-02-05 00:24:59+00:00","Bongo Net","deploy","MVCO","B30",41.3201,-70.5718,"time adjusted manually; is exact time of deployment",NA,"EN608",2018,2,5,"00:24:59",2018-02-05 00:24:59,"2018-02-05 00:24:00+00:00",35.0166667,0.02,0.02
"12","2018-07-20 18:45:31+00:00","Bongo Net","deploy","L1","B1",41.203333,-70.887017,"New Winch from EN608",NA,"EN617",2018,7,20,"18:45:31",2018-07-20 18:45:31,"2018-07-20 18:45:00+00:00",200.78125,1.25,1.25
"13","2018-07-20 22:14:54+00:00","Bongo Net","deploy","L2","B2",41.034783,-70.875367,NA,NA,"EN617",2018,7,20,"22:14:54",2018-07-20 22:14:54,"2018-07-20 22:14:00+00:00",200.9263889,1.73,1.73
"14","2018-07-21 07:38:01+00:00","Bongo Net","deploy","L3","B5",40.86585,-70.882533,NA,NA,"EN617",2018,7,21,"07:38:01",2018-07-21 07:38:01,"2018-07-21 07:38:00+00:00",201.3180556,1.65,1.65
"15","2018-07-21 15:38:27+00:00","Bongo Net","deploy","L4","B8",40.706033,-70.871483,NA,NA,"EN617",2018,7,21,"15:38:27",2018-07-21 15:38:27,"2018-07-21 15:38:00+00:00",201.6513889,1.65,1.65
"16","2018-07-21 18:04:45+00:00","Bongo Net","deploy","L5","B9",40.5224,-70.87265,NA,NA,"EN617",2018,7,21,"18:04:45",2018-07-21 18:04:45,"2018-07-21 18:04:00+00:00",201.7527778,1.24,1.24
"17","2018-07-22 02:53:53+00:00","Bongo Net","deploy","L6","B12",40.375433,-70.8851,NA,NA,"EN617",2018,7,22,"02:53:53",2018-07-22 02:53:53,"2018-07-22 02:53:00+00:00",202.1201389,1.27,1.27
"18","2018-07-22 05:50:27+00:00","Bongo Net","deploy","L7","B13",40.23185,-70.886017,NA,NA,"EN617",2018,7,22,"05:50:27",2018-07-22 05:50:27,"2018-07-22 05:50:00+00:00",202.2430556,1.27,1.27
"19","2018-07-22 07:43:16+00:00","Bongo Net","deploy","L8","B14",40.142217,-70.76645,NA,NA,"EN617",2018,7,22,"07:43:16",2018-07-22 07:43:16,"2018-07-22 07:43:00+00:00",202.3215278,1.24,1.24
"20","2018-07-22 19:06:34+00:00","Bongo Net","deploy","L9","B17",40.0996,-70.87415,NA,NA,"EN617",2018,7,22,"19:06:34",2018-07-22 19:06:34,"2018-07-22 19:06:00+00:00",202.7958333,1.83,1.83
"21","2018-07-22 22:50:12+00:00","Bongo Net","deploy","L10","B18",39.943733,-70.870183,NA,NA,"EN617",2018,7,22,"22:50:12",2018-07-22 22:38:00,"2018-07-22 22:38:00+00:00",202.9430556,0.49,0.49
"22","2018-07-23 14:47:01+00:00","Bongo Net","deploy","L11","B21",39.771317,-70.876533,NA,NA,"EN617",2018,7,23,"14:47:01",2018-07-23 14:47:01,"2018-07-23 14:47:00+00:00",203.6159722,1.3,1.3
"23","2018-07-24 08:19:46+00:00","Bongo Net","deploy","L11","B25A",39.768483,-70.856617,"tow yo to 10 meters for 1 nm to calibrate flowmeter--tow 1",NA,"EN617",2018,7,24,"08:19:46",2018-07-24 08:19:46,"2018-07-24 08:19:00+00:00",204.3465278,1.32,1.32
"24","2018-07-24 08:48:46+00:00","Bongo Net","recover","L11","B25A",39.757967,-70.837417,"tow yo to 10 meters for 1 nm to calibrate flowmeter--tow 1",NA,"EN617",2018,7,24,"08:48:46",2018-07-24 08:48:46,"2018-07-24 08:48:00+00:00",204.3666667,1.94,1.94
"25","2018-07-24 09:24:16+00:00","Bongo Net","deploy","L11","B25B",39.761433,-70.84275,"tow yo to 10 meters for 1 nm to calibrate flowmeter--tow 2",NA,"EN617",2018,7,24,"09:24:16",2018-07-24 09:24:16,"2018-07-24 09:24:00+00:00",204.3916667,2.13,2.13
"26","2018-07-24 09:53:01+00:00","Bongo Net","recover","L11","B25B",39.770633,-70.860533,"tow yo to 10 meters for 1 nm to calibrate flowmeter--tow 2",NA,"EN617",2018,7,24,"09:53:01",2018-07-24 09:53:01,"2018-07-24 09:53:00+00:00",204.4118056,2.26,2.26
"27","2018-07-25 01:43:00+00:00","Bongo Net","deploy","MVCO","B35",41.3223,-70.57515,NA,NA,"EN617",2018,7,25,"01:43:00",2018-07-25 01:43:00,"2018-07-25 01:43:00+00:00",205.0715278,1.92,1.92
"28","2019-02-02 07:43:19+00:00","Bongo Net","deploy","L2",NA,41.0296,-70.8801,"NETS HIT BOTTOM AND COLLECTED SAND; NO SAMPLE SAVED; FOLLOWING THIS WITH WINCH WIRE SPEED CALIBRATION",NA,"EN627",2019,2,2,"07:43:19",2019-02-02 07:43:19,"2019-02-02 07:43:00+00:00",32.3215278,1.37,1.37
"29","2019-02-02 08:31:43+00:00","Bongo Net","deploy","L2","B7",41.0226,-70.8842,"SECOND ATTEMPT FOR B07",NA,"EN627",2019,2,2,"08:31:43",2019-02-02 08:31:43,"2019-02-02 08:31:00+00:00",32.3548611,1.77,1.77
